age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,education,marital_status,occupation,relationship,race,sex,native_country,income,income_score
32,355700,15,99999,0,60,Private,Prof-school,Married-AF-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9967582565288683
53,42924,16,14084,0,50,Self-emp-inc,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9884850901041022
50,195844,16,13550,0,50,Private,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9881164746013431
45,252242,16,99999,0,55,Private,Doctorate,Divorced,Sales,Not-in-family,White,Male,United-States,>50K,0.987942051405689
49,131826,15,99999,0,50,Self-emp-inc,Prof-school,Widowed,Prof-specialty,Unmarried,White,Male,United-States,>50K,0.9878574945261206
43,435266,16,14084,0,60,Private,Doctorate,Separated,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9875757220851015
44,144778,15,8614,0,50,Self-emp-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9873727981808947
33,170769,16,99999,0,60,Private,Doctorate,Divorced,Sales,Not-in-family,White,Male,United-States,>50K,0.9873154487424063
51,54342,15,27828,0,60,Self-emp-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9873114081916681
50,145333,16,10520,0,50,Private,Doctorate,Divorced,Prof-specialty,Other-relative,White,Male,United-States,>50K,0.9870622803125221
42,117583,16,8614,0,60,State-gov,Doctorate,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,>50K,0.9867716335517166
40,105794,15,14084,0,50,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K,0.9865301998800357
32,159442,15,13550,0,50,Private,Prof-school,Never-married,Sales,Not-in-family,White,Female,United-States,>50K,0.9865181590212784
36,184456,15,27828,0,50,Private,Prof-school,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9860940615337898
53,174102,15,25236,0,60,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Unmarried,White,Male,United-States,>50K,0.9860155933404336
48,328606,15,14084,0,63,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Unmarried,White,Male,United-States,>50K,0.9860155933404336
46,295566,16,25236,0,65,Private,Doctorate,Divorced,Prof-specialty,Unmarried,White,Female,United-States,>50K,0.9858792521287045
51,103995,16,10520,0,60,Private,Doctorate,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,>50K,0.9858648782814444
43,261929,16,25236,0,64,State-gov,Doctorate,Married-spouse-absent,Prof-specialty,Unmarried,White,Male,United-States,>50K,0.9858556648526497
34,289228,14,15024,0,45,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.9857468465456553
36,747719,15,15024,0,50,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9857157018288115
47,79627,15,27828,0,50,Self-emp-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9856765612272631
59,398626,16,25236,0,45,State-gov,Doctorate,Divorced,Prof-specialty,Unmarried,White,Male,United-States,>50K,0.9855614930409485
